animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,True,1,0.2,8,5,0.4233673733673734,0.6175040518638574
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,True,1,0.4285,8,5,0.4233673733673734,0.6175040518638574
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,True,1,0.6,8,5,0.4233673733673734,0.6175040518638574
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,True,1,0.8,8,5,0.4233673733673734,0.6175040518638574
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,True,1,0.9,8,5,0.4233673733673734,0.6175040518638574
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,False,1,0.2,6,4,0.49824157324157325,0.6376811594202898
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,False,1,0.4285,5,4,0.49215229215229217,0.6447963800904978
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,False,1,0.6,5,4,0.5029109779109778,0.6411960132890365
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,False,1,0.8,5,4,0.4843332593332593,0.6359447004608295
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,3,77,False,1,0.9,6,4,0.5044196544196543,0.6323024054982818
